player_fotmob_id,season_start,name,team,role,fantavoto_medio,n_votes,n_matches,match_method
,2023,Di Francesco F.,Lecce,FWD,10.0,1,1,unmatched
1498718,2023,Mutandwa,Cagliari,FWD,10.0,1,1,last_name_team_role
,2023,Savva,Torino,FWD,10.0,1,1,unmatched
,2023,Traore' C.,Milan,FWD,10.0,1,1,unmatched
,2023,Biraschi,Genoa,DEF,9.0,1,1,unmatched
690230,2023,Martinez L.,Inter,FWD,8.727,33,33,last_name_team_role_season
325916,2023,Dybala,Roma,FWD,8.204,27,27,last_name_team_role_season
364520,2023,Berardi,Sassuolo,FWD,8.059,17,17,last_name_team_role_season
721089,2023,Scamacca,Atalanta,FWD,7.893,28,28,last_name_team_role_season
687681,2023,Osimhen,Napoli,FWD,7.88,25,25,last_name_team_role_season
621562,2023,Thuram,Inter,FWD,7.814,35,35,last_name_team_role_season
46469,2023,Giroud,Milan,FWD,7.706,34,34,last_name_team_role_season
304733,2023,Calhanoglu,Inter,MID,7.703,32,32,last_name_team_role_season
46241,2023,Niang,Empoli,FWD,7.679,14,14,last_name_team_role_season
665188,2023,Gudmundsson A.,Genoa,MID,7.643,35,35,last_name_role
690516,2023,Lookman,Atalanta,FWD,7.633,30,30,last_name_team_role_season
866516,2023,Koopmeiners,Atalanta,MID,7.529,34,34,last_name_role
688295,2023,Pulisic,Milan,MID,7.5,36,36,last_name_team_role_season
737857,2023,Vlahovic,Juventus,FWD,7.424,33,33,last_name_team_role_season
1282285,2023,Noslin,Verona,FWD,7.412,17,17,last_name_team_role_season
848844,2023,Rafael Leao,Milan,FWD,7.409,33,33,last_name_team_role_season
950830,2023,Zirkzee,Bologna,FWD,7.397,34,34,last_name_team_role_season
841672,2023,Gonzalez N.,Fiorentina,FWD,7.397,29,29,last_name_role
1095432,2023,De Ketelaere,Atalanta,MID,7.394,33,33,last_name_team_role_season
116555,2023,Zapata D.,Torino,FWD,7.365,37,37,last_name_team_role_season
1215057,2023,Vitinha O.,Genoa,FWD,7.333,6,6,last_name_team_role_season
574847,2023,Castrovilli,Fiorentina,MID,7.3,5,5,last_name_role
900433,2023,Kvaratskhelia,Napoli,FWD,7.25,34,34,last_name_team_role_season
181276,2023,Lukaku,Roma,FWD,7.203,32,32,last_name_team_role_season
,2023,Radonjic,Torino,MID,7.188,8,8,unmatched
605224,2023,Dimarco,Inter,DEF,7.183,30,30,last_name_team_role_season
784510,2023,Chiesa,Juventus,FWD,7.172,32,32,last_name_team_role_season
1369420,2023,Simic J.,Milan,DEF,7.167,3,3,last_name_team_role_season
309726,2023,Belotti,Fiorentina,FWD,7.104,24,24,last_name_team_role_season
1280082,2023,Soule',Frosinone,FWD,7.069,36,36,last_name_team_role_season
661761,2023,Orsolini,Bologna,MID,7.065,31,31,last_name_team_role_season
231176,2023,Pavoletti,Cagliari,FWD,7.036,14,14,last_name_team_role_season
915797,2023,Okafor,Milan,FWD,7.021,24,24,last_name_team_role_season
889535,2023,Bisseck,Inter,DEF,7.0,11,11,last_name_team_role_season
815431,2023,Frattesi,Inter,MID,7.0,28,28,last_name_team_role_season
689680,2023,Odgaard,Bologna,FWD,7.0,9,9,last_name_team_role_season
1072054,2023,Maldini,Monza,MID,6.969,16,16,last_name_role
540307,2023,Pellegrini Lo.,Roma,MID,6.948,29,29,last_name_team_role_season
888921,2023,Ferguson,Bologna,MID,6.935,31,31,last_name_team_role_season
1106916,2023,Zarraga,Udinese,MID,6.929,7,7,last_name_team_role_season
937462,2023,Colpani,Monza,MID,6.921,38,38,last_name_role
110148,2023,Arnautovic,Inter,FWD,6.896,24,24,last_name_team_role_season
446266,2023,Pasalic,Atalanta,MID,6.894,33,33,last_name_team_role_season
415539,2023,Politano,Napoli,MID,6.892,37,37,last_name_team_role_season
127460,2023,Bonaventura,Fiorentina,MID,6.887,31,31,last_name_team_role_season
1012842,2023,Gaetano,Cagliari,MID,6.882,17,17,last_name_team_role_season
11685,2023,Candreva,Salernitana,MID,6.868,34,34,last_name_team_role_season
1276505,2023,Fabbian,Bologna,MID,6.864,22,22,last_name_role
994403,2023,Ngonge,Verona,FWD,6.857,28,28,last_name_role_season
198566,2023,Luis Alberto,Lazio,MID,6.844,32,32,last_name_team_role_season
254308,2023,Thauvin,Udinese,FWD,6.84,25,25,last_name_team_role_season
1283469,2023,El Azzouzi,Bologna,MID,6.833,9,9,last_name_team_role_season
442581,2023,Miranchuk,Atalanta,MID,6.818,22,22,last_name_team_role_season
281993,2023,Simy,Salernitana,FWD,6.818,11,11,last_name_team_role_season
846948,2023,Zurkowski,Empoli,MID,6.808,13,13,last_name_team_role_season
909030,2023,Harroui,Frosinone,MID,6.794,17,17,last_name_team_role_season
905546,2023,Retegui,Genoa,FWD,6.793,29,29,last_name_team_role_season
463291,2023,Jovic,Milan,FWD,6.789,19,19,last_name_team_role_season
206322,2023,Vecino,Lazio,MID,6.78,25,25,last_name_team_role_season
541555,2023,Zaccagni,Lazio,MID,6.768,28,28,last_name_team_role_season
441309,2023,Azmoun,Roma,FWD,6.767,15,15,last_name_team_role_season
50047,2023,Sanchez,Inter,FWD,6.763,19,19,last_name_team_role_season
1078113,2023,Cheddira,Frosinone,FWD,6.758,31,31,last_name_team_role_season
1212630,2023,Lucca,Udinese,FWD,6.75,34,34,last_name_team_role_season
1089744,2023,Luvumbo,Cagliari,FWD,6.75,30,30,last_name_team_role_season
1050178,2023,Samardzic,Udinese,MID,6.742,33,33,last_name_role
776299,2023,Aouar,Roma,MID,6.731,13,13,last_name_team_role_season
750030,2023,Pinamonti,Sassuolo,FWD,6.703,37,37,last_name_team_role_season
68404,2023,Viola,Cagliari,MID,6.7,25,25,last_name_team_role_season
,2023,Muriel,Atalanta,FWD,6.692,13,13,unmatched
604982,2023,Loftus-Cheek,Milan,MID,6.69,29,29,last_name_team_role_season
73167,2023,Mkhitaryan,Inter,MID,6.681,36,36,last_name_team_role_season
25587,2023,De Silvestri,Bologna,DEF,6.667,12,12,last_name_team_role_season
108381,2023,Djuric,Verona,FWD,6.667,36,36,last_name_role_season
424614,2023,Ekuban,Genoa,FWD,6.652,23,23,last_name_team_role_season
974755,2023,Beltran L.,Fiorentina,FWD,6.65,30,30,last_name_team_role_season
1080669,2023,Zortea,Frosinone,DEF,6.632,19,19,last_name_team_role_season
459658,2023,Malinovskyi,Genoa,MID,6.63,23,23,last_name_team_role_season
451966,2023,Barak,Fiorentina,MID,6.615,13,13,last_name_team_role_season
724368,2023,Davis K.,Udinese,FWD,6.6,5,5,last_name_team_role_season
230190,2023,Felipe Anderson,Lazio,MID,6.592,38,38,last_name_team_role_season
161660,2023,Immobile,Lazio,FWD,6.589,28,28,last_name_team_role_season
210278,2023,Pereyra,Udinese,MID,6.577,26,26,last_name_team_role_season
1105912,2023,Calafiori,Bologna,DEF,6.574,27,27,last_name_team_role_season
957203,2023,Ederson D.s.,Atalanta,MID,6.556,36,36,last_name_team_role_season
741049,2023,Elmas,Napoli,MID,6.556,9,9,last_name_team_role
1054114,2023,Toure' E.,Atalanta,FWD,6.556,9,9,last_name_team_role_season
600190,2023,Henry,Verona,FWD,6.55,10,10,last_name_team_role_season
558136,2023,Swiderski,Verona,FWD,6.538,13,13,last_name_team_role_season
593118,2023,Dumfries,Inter,DEF,6.533,30,30,last_name_team_role_season
972120,2023,Dia,Salernitana,FWD,6.529,17,17,last_name_team_role_season
541820,2023,Barella,Inter,MID,6.527,37,37,last_name_team_role_season
513982,2023,Mazzitelli,Frosinone,MID,6.517,29,29,last_name_team_role_season
1283034,2023,Tchaouna,Salernitana,MID,6.517,29,29,last_name_role
73024,2023,Acerbi,Inter,DEF,6.5,29,29,last_name_team_role_season
1208969,2023,Asllani,Inter,MID,6.5,16,16,last_name_team_role_season
1026135,2023,Buchanan,Inter,MID,6.5,7,7,last_name_team_role_season
823018,2023,Buongiorno,Torino,DEF,6.5,29,29,last_name_team_role_season
1282008,2023,Castro S.,Bologna,FWD,6.5,5,5,last_name_team_role_season
239911,2023,Demme,Napoli,MID,6.5,2,2,last_name_team_role_season
417743,2023,Di Gennaro,Inter,GK,6.5,1,1,last_name_team_role_season
,2023,Fusco,Salernitana,FWD,6.5,1,1,unmatched
1327150,2023,Ibrahimovic A.,Frosinone,MID,6.5,8,8,last_name_role
447680,2023,Maric,Monza,FWD,6.5,7,7,last_name_role
196074,2023,Pinsoglio,Juventus,GK,6.5,1,1,last_name_team_role_season
352879,2023,Rabiot,Juventus,MID,6.5,31,31,last_name_team_role_season
181644,2023,Rossi F.,Atalanta,GK,6.5,1,1,last_name_team_role_season
470479,2023,Sensi,Inter,MID,6.5,1,1,last_name_team_role_season
780491,2023,Oudin,Lecce,MID,6.484,31,31,last_name_team_role_season
609624,2023,Bennacer,Milan,MID,6.472,18,18,last_name_team_role_season
921341,2023,Saelemaekers,Bologna,MID,6.467,30,30,last_name_team_role_season
1127054,2023,Suslov,Verona,MID,6.467,30,30,last_name_team_role_season
358155,2023,Rugani,Juventus,DEF,6.464,14,14,last_name_team_role_season
317156,2023,Duncan,Fiorentina,MID,6.462,26,26,last_name_team_role_season
935769,2023,Lauriente',Sassuolo,FWD,6.459,37,37,last_name_team_role_season
566654,2023,Pessina,Monza,MID,6.459,37,37,last_name_team_role_season
277460,2023,Milik,Juventus,FWD,6.458,24,24,last_name_team_role_season
1016093,2023,Isaksen,Lazio,FWD,6.457,23,23,last_name_team_role_season
724371,2023,Hernandez T.,Milan,DEF,6.453,32,32,last_name_team_role_season
,2023,Dragusin,Genoa,DEF,6.447,19,19,unmatched
805451,2023,Bastoni,Inter,DEF,6.446,28,28,last_name_team_role_season
933817,2023,Sottil,Fiorentina,MID,6.444,18,18,last_name_role
950596,2023,Brescianini,Frosinone,MID,6.443,35,35,last_name_team_role_season
951743,2023,Raspadori,Napoli,FWD,6.439,33,33,last_name_team_role_season
619513,2023,Shomurodov,Cagliari,FWD,6.425,20,20,last_name_team_role_season
921543,2023,Frendrup,Genoa,MID,6.419,37,37,last_name_team_role_season
638771,2023,Martinez Quarta,Fiorentina,DEF,6.411,28,28,last_name_team_role_season
188555,2023,De Vrij,Inter,DEF,6.409,22,22,last_name_team_role_season
822440,2023,Folorunsho,Verona,MID,6.409,33,33,last_name_team_role_season
737339,2023,Mota,Monza,FWD,6.409,33,33,last_name_team_role_season
1017401,2023,Piccoli,Lecce,FWD,6.406,32,32,last_name_team_role_season
921921,2023,Thorstvedt,Sassuolo,MID,6.397,34,34,last_name_team_role_season
161328,2023,El Shaarawy,Roma,MID,6.397,29,29,last_name_team_role_season
